Station,Year,Month,MaxT (Deg.Cel),MinT(Deg.Cel)
Dinajpur (10120),1998,11,29.88,18.95
Dinajpur (10120),1998,12,26.67,13.18
Dinajpur (10120),1999,1,23.91,10.55
Dinajpur (10120),1999,2,29.29,14.87
Dinajpur (10120),1999,3,32.89,17.83
Dinajpur (10120),1999,4,33.55,23.39
Dinajpur (10120),1999,5,31.87,23.78
Dinajpur (10120),1999,6,33.09,26.23
Dinajpur (10120),1999,7,31.83,26.24
Dinajpur (10120),1999,8,31.16,25.85
Dinajpur (10120),1999,9,31.02,25.2
Dinajpur (10120),1999,10,30.89,23.44
Dinajpur (10120),1999,11,29.64,17.6
Dinajpur (10120),1999,12,26.54,13.29
Dinajpur (10120),2000,1,22.99,10.81
Dinajpur (10120),2000,2,24.5,12.01
Dinajpur (10120),2000,3,29.67,16.57
Dinajpur (10120),2000,4,31.88,20.98
Dinajpur (10120),2000,5,31.7,23.68
Dinajpur (10120),2000,6,32.63,25.88
Dinajpur (10120),2000,7,32.7,26.39
Dinajpur (10120),2000,8,32.97,26.49
Dinajpur (10120),2000,9,31.11,25.06
Dinajpur (10120),2000,10,32.11,22.94
Dinajpur (10120),2000,11,29.18,17.62
Dinajpur (10120),2000,12,26.26,11.49
Dinajpur (10120),2001,1,23.36,9.65
Dinajpur (10120),2001,2,27.01,12.7
Dinajpur (10120),2001,3,32.16,17.21
Dinajpur (10120),2001,4,34.79,21.33
Dinajpur (10120),2001,5,32.84,23.33
Dinajpur (10120),2001,6,32.86,25.36
Dinajpur (10120),2001,7,33.58,26.52
Dinajpur (10120),2001,8,33.91,26.75
Dinajpur (10120),2001,9,32.35,25.64
Dinajpur (10120),2001,10,31.26,23.42
Dinajpur (10120),2001,11,29.64,18.56
Dinajpur (10120),2001,12,24.48,12.62
Dinajpur (10120),2002,1,24.5,11.86
Dinajpur (10120),2002,2,28.06,13.72
Dinajpur (10120),2002,3,31.36,17.9
Dinajpur (10120),2002,4,30.59,21.34
Dinajpur (10120),2002,5,31.61,23.73
Dinajpur (10120),2002,6,31.72,25.01
Dinajpur (10120),2002,7,31.05,25.69
Dinajpur (10120),2002,8,32.73,26.15
Dinajpur (10120),2002,9,32.84,25.25
Dinajpur (10120),2002,10,31.94,22.01
Dinajpur (10120),2002,11,29.39,17.5
Dinajpur (10120),2002,12,25.02,13.19
Dinajpur (10120),2003,1,19.6,8.19
Dinajpur (10120),2003,2,25.64,13.78
Dinajpur (10120),2003,3,28.4,17.07
Dinajpur (10120),2003,4,31.44,21.28
Dinajpur (10120),2003,5,32.76,23.32
Dinajpur (10120),2003,6,31.91,25.1
Dinajpur (10120),2003,7,32.74,26.34
Dinajpur (10120),2003,8,33.25,26.79
Dinajpur (10120),2003,9,32.27,25.84
Dinajpur (10120),2003,10,30.21,23.11
Dinajpur (10120),2003,11,28.46,17.12
Dinajpur (10120),2003,12,25.31,12.95
Dinajpur (10120),2004,1,20.6,10.57
Dinajpur (10120),2004,2,26.87,12.86
Dinajpur (10120),2004,3,31.7,19.57
Dinajpur (10120),2004,4,29.8,20.98
Dinajpur (10120),2004,5,33.09,23.84
Dinajpur (10120),2004,6,32.29,25.19
Dinajpur (10120),2004,7,31.27,25.48
Dinajpur (10120),2004,8,33.39,26.48
Dinajpur (10120),2004,9,31.58,25.26
Dinajpur (10120),2004,10,29.92,21.41
Dinajpur (10120),2004,11,29.15,15.68
Dinajpur (10120),2004,12,25.7,12.79
Dinajpur (10120),2005,1,23.11,10.95
Dinajpur (10120),2005,2,26.92,14.59
Dinajpur (10120),2005,3,30.18,19.33
Dinajpur (10120),2005,4,32.08,21.71
Dinajpur (10120),2005,5,31.57,23.14
Dinajpur (10120),2005,6,33.08,25.29
Dinajpur (10120),2005,7,31.76,26.13
Dinajpur (10120),2005,8,32.12,26.48
Dinajpur (10120),2005,9,33.48,26.36
Dinajpur (10120),2005,10,29.3,22.35
Dinajpur (10120),2005,11,28.48,16.35
Dinajpur (10120),2005,12,25.92,12.24
Dinajpur (10120),2006,1,22.37,11.02
Dinajpur (10120),2006,2,28.3,16.55
Dinajpur (10120),2006,3,31.78,17.71
Dinajpur (10120),2006,4,31.26,21.37
Dinajpur (10120),2006,5,32.65,23.86
Dinajpur (10120),2006,6,32.63,25.33
Dinajpur (10120),2006,7,33.01,26.6
Dinajpur (10120),2006,8,33.47,26.61
Dinajpur (10120),2006,9,31.64,25.05
Dinajpur (10120),2006,10,32.03,22.67
Dinajpur (10120),2006,11,27.77,17.47
Dinajpur (10120),2006,12,25.64,13.15
Dinajpur (10120),2007,1,23,9.87
Dinajpur (10120),2007,2,24.49,14.37
Dinajpur (10120),2007,3,29.79,17.12
Dinajpur (10120),2007,4,31.97,22.07
Dinajpur (10120),2007,5,34.77,24.52
Dinajpur (10120),2007,6,32.09,25.34
Dinajpur (10120),2007,7,31.68,26.13
Dinajpur (10120),2007,8,32.82,26.71
Dinajpur (10120),2007,9,31.9,25.66
Dinajpur (10120),2007,10,31.48,23.07
Dinajpur (10120),2007,11,29.87,17.71
Dinajpur (10120),2007,12,25.12,11.94
Dinajpur (10120),2008,1,23.04,11.77
Dinajpur (10120),2008,2,24.6,12.26
Dinajpur (10120),2008,3,30.13,18.94
Dinajpur (10120),2008,4,32.78,21.79
Dinajpur (10120),2008,5,32.96,23.45
Dinajpur (10120),2008,6,31.76,25.61
Dinajpur (10120),2008,7,32.01,26.15
Dinajpur (10120),2008,8,31.89,26.08
Dinajpur (10120),2008,9,32.79,25.71
Dinajpur (10120),2008,10,31.13,22.52
Dinajpur (10120),2008,11,29.33,16.47
Dinajpur (10120),2008,12,24.41,15.27
Dinajpur (10120),2009,1,23.53,12.51
Dinajpur (10120),2009,2,27.99,14.01
Dinajpur (10120),2009,3,30.81,17.59
Dinajpur (10120),2009,4,32.93,21.99
Dinajpur (10120),2009,5,32.05,23.62
Dinajpur (10120),2009,6,33.94,25.85
Dinajpur (10120),2009,7,33.16,26.55
Dinajpur (10120),2009,8,31.98,26.31
Dinajpur (10120),2009,9,33.14,26.23
Dinajpur (10120),2009,10,31.73,22.45
Dinajpur (10120),2009,11,28.86,17.13
Dinajpur (10120),2009,12,24.47,12.29
Dinajpur (10120),2010,1,21.15,10.09
Dinajpur (10120),2010,2,27.48,13.11
Dinajpur (10120),2010,3,32.35,19.17
Dinajpur (10120),2010,4,33.58,23.5
Dinajpur (10120),2010,5,33.5,24.23
Dinajpur (10120),2010,6,32.46,25.29
Dinajpur (10120),2010,7,32.82,26.7
Dinajpur (10120),2010,8,32.75,26.8
Dinajpur (10120),2010,9,32.46,25.86
Dinajpur (10120),2010,10,31.43,23.11
Dinajpur (10120),2010,11,29.41,18.21
Dinajpur (10120),2010,12,25.37,11.93
Dinajpur (10120),2011,1,20.85,9.18
Dinajpur (10120),2011,2,27.1,13.83
Dinajpur (10120),2011,3,30.61,17.85
Dinajpur (10120),2011,4,31.9,21.39
Dinajpur (10120),2011,5,32.29,23.34
Dinajpur (10120),2011,6,32.9,25.47
Dinajpur (10120),2011,7,32.58,26.29
Dinajpur (10120),2011,8,32.24,26.14
Dinajpur (10120),2011,9,32.73,26.09
Dinajpur (10120),2011,10,32.53,23.44
Dinajpur (10120),2011,11,28.76,16.49
Dinajpur (10120),2011,12,23.57,12.08
Dinajpur (10120),2012,1,22.18,10.71
Dinajpur (10120),2012,2,26.69,13.1
Dinajpur (10120),2012,3,31.11,17.23
Dinajpur (10120),2012,4,32.95,21.68
Dinajpur (10120),2012,5,34.6,24.31
Dinajpur (10120),2012,6,33.16,25.71
Dinajpur (10120),2012,7,32.27,26.74
Dinajpur (10120),2012,8,33.3,27.05
Dinajpur (10120),2012,9,32.56,25.81
Dinajpur (10120),2012,10,31.57,21.59
Dinajpur (10120),2012,11,28.56,15.02
Dinajpur (10120),2012,12,21.94,11.75
Dinajpur (10120),2013,1,22.51,8.51
Dinajpur (10120),2013,2,27.73,13.88
Dinajpur (10120),2013,3,31.96,17.95
Dinajpur (10120),2013,4,32.5,21.28
Dinajpur (10120),2013,5,31.75,23.87
Dinajpur (10120),2013,6,33.86,26.45
Dinajpur (10120),2013,7,33.14,26.89
Dinajpur (10120),2013,8,32.53,26.13
Dinajpur (10120),2013,9,33.5,26.02
Dinajpur (10120),2013,10,30.39,22.3
Dinajpur (10120),2013,11,29.15,15.11
Dinajpur (10120),2013,12,24.39,12.28
Dinajpur (10120),2014,1,22.42,11.19
Dinajpur (10120),2014,2,24.38,12.46
Dinajpur (10120),2014,3,30.54,17.05
Dinajpur (10120),2014,4,34.92,21.21
Dinajpur (10120),2014,5,34.56,23.97
Dinajpur (10120),2014,6,33.27,25.9
Dinajpur (10120),2014,7,33.38,26.86
Dinajpur (10120),2014,8,32.63,26.55
Dinajpur (10120),2014,9,31.91,25.27
Dinajpur (10120),2014,10,31.85,22.27
Dinajpur (10120),2014,11,29.55,16.2
Dinajpur (10120),2014,12,24.28,12.45
Dinajpur (10120),2015,1,22.21,11.42
Dinajpur (10120),2015,2,27.02,14.35
Dinajpur (10120),2015,3,30.75,17.79
Dinajpur (10120),2015,4,31.01,20.99
Dinajpur (10120),2015,5,32.97,23.96
Dinajpur (10120),2015,6,32.75,26.11
Dinajpur (10120),2015,7,33.24,26.4
Dinajpur (10120),2015,8,32.39,26.35
Dinajpur (10120),2015,9,33.1,25.82
Dinajpur (10120),2015,10,32.71,22.71
Dinajpur (10120),2015,11,30.04,17.2
Dinajpur (10120),2015,12,24.67,11.61
Dinajpur (10120),2016,1,23.43,10.28
Dinajpur (10120),2016,2,28.2,13.98
Dinajpur (10120),2016,3,31.87,18.81
Dinajpur (10120),2016,4,34.65,22.98
Dinajpur (10120),2016,5,32.29,23.34
Dinajpur (10120),2016,6,33.6,26.17
Dinajpur (10120),2016,7,32.28,26.51
Dinajpur (10120),2016,8,34.01,26.91
Dinajpur (10120),2016,9,32.31,25.64
Dinajpur (10120),2016,10,32.48,23.28
Dinajpur (10120),2016,11,30.4,16.74
Dinajpur (10120),2016,12,26.06,13.3
Dinajpur (10120),2017,1,24.81,10.89
Dinajpur (10120),2017,2,27.78,13.4
Dinajpur (10120),2017,3,28.63,16.75
Dinajpur (10120),2017,4,31.07,21.48
Dinajpur (10120),2017,5,32.83,23.75
Dinajpur (10120),2017,6,34.16,26.04
Dinajpur (10120),2017,7,32.61,26.6
Dinajpur (10120),2017,8,33.07,26.75
Dinajpur (10120),2017,9,33.61,26.37
Dinajpur (10120),2017,10,31.53,23.61
Dinajpur (10120),2017,11,29.41,16.39
Dinajpur (10120),2017,12,26.57,13.56
Dinajpur (10120),2018,1,20.54,8.8
Dinajpur (10120),2018,2,27.23,13.59
Dinajpur (10120),2018,3,31.23,18.5
Dinajpur (10120),2018,4,31.1,21.74
Dinajpur (10120),2018,5,31.76,23.13
Dinajpur (10120),2018,6,33.98,25.96
Dinajpur (10120),2018,7,33.51,27.03
Dinajpur (10120),2018,8,33.87,26.98
Dinajpur (10120),2018,9,33.34,26.11
